Saccade_Start,Saccade_End,Saccade_Type,Saccade_Duration,Saccade_Mean_Velocity,Saccade_Min_Velocity,Saccade_Max_Velocity,Saccade_Path_Length:
6121,6122,Standard,32,0.0014209561981644012,0.0006745947857788396,0.002167317610549963,0.09094119668252168
6178,6180,Standard,62,0.0019079321989610145,0.00016978803643275263,0.0028133679216376956,0.18005724233269074
6266,6267,Standard,30,0.0012069742686884742,0.0010723077508770747,0.001341640786499874,0.07349076387218553
6280,6281,Standard,32,0.0007385677229019995,0.0002326162113202576,0.0012445192344837414,0.04703571805440771
6325,6326,Standard,47,0.0006479704245613151,0.00018221724671391534,0.001113723602408715,0.05817596120805489
6412,6413,Standard,46,0.0011972878485795166,0.0003952847075210475,0.0019992909896379856,0.10461649616402086
6415,6418,Long,94,0.0023025237675311956,0.0007140626974573757,0.003917421239076925,0.2917544005316598
6420,6423,Long,109,0.0029517890119447146,0.0005290715957050559,0.006243903276396905,0.39412329861606615
6426,6431,Long,156,0.003048646934191182,0.0007954184696004051,0.006883878105964529,0.5642408760660579
6434,6435,Standard,31,0.0015528441238946828,0.0009999999999999992,0.0021056882477893664,0.09727633568147033
6451,6452,Standard,31,0.0008208647332598542,0.0003365728004459068,0.0013051566660738016,0.05123018626255686
6521,6524,Long,93,0.0024928385018752265,0.0009895394613018045,0.003748184745832159,0.30892683769013074
6603,6604,Standard,31,0.0020593393100053637,0.0010217364202669884,0.0030969421997437394,0.12870077364059954
6681,6682,Long,188,0.0002990691193722018,0.0,0.0005981382387444036,0.11244998888394787
6704,6707,Long,124,0.00648654700168351,0.0,0.011623740463022949,1.0268352637974794
6717,6718,Standard,32,0.0018208639284048231,0.0010796089827134433,0.002562118874096203,0.1143760734524818
6721,6723,Standard,76,0.010413728984346816,0.0,0.018909139471577116,1.134548368294627
6737,6738,Standard,31,0.0010979329975801685,0.000620496260053914,0.0015753697351064229,0.06807184584997045
6741,6742,Standard,31,0.001311438977988204,0.0005970304117044622,0.0020258475442719455,0.08190624704697312
6744,6745,Standard,30,0.0011148252934470924,0.0004268749491621896,0.0018027756377319954,0.06688951760682554
6929,6930,Long,94,0.0009478538336660738,0.0,0.0018957076673321476,0.17819652072922187
6936,6937,Standard,32,0.0009402162214328789,0.00048814060474416634,0.0013922918381215914,0.06017383817170425
6952,6957,Long,155,0.0018001958481195597,0.00020963137289060546,0.002603416558635551,0.33510885157441006
6964,6965,Standard,32,0.0018676731529378037,0.0006162894572433158,0.003119056848632292,0.11891479233077613
6967,6968,Standard,31,0.0022600902126781175,0.0014761059883656347,0.0030440744369906007,0.13864948719767767
6982,6983,Standard,30,0.0009477089311955184,0.00024988518943137275,0.001645532672959664,0.057612191440025225
6996,6997,Standard,33,0.0009794365157202096,0.00016996731711975966,0.0017889057143206596,0.06413290808617456
7001,7002,Standard,31,0.0014767623640234934,0.00095248441588301,0.002001040312163977,0.0925117509853396
7010,7011,Standard,47,0.0011918023805932926,0.0010217364202669886,0.0013618683409195966,0.09670337747176466
7095,7097,Standard,61,0.0014313056142650062,0.0006868090379391053,0.0018586135812600868,0.14224175315241117
7418,7421,Long,109,0.0010869413756545866,0.0005124082799486079,0.0015158666044543625,0.15907454193906054
7432,7433,Standard,31,0.0010989724404909156,0.0008411874071229221,0.0013567574738589092,0.06813629131043678
7440,7443,Long,95,0.0022568951711341265,0.0007863278793787166,0.0038721007299010192,0.2843659219433945
7618,7621,Long,109,0.0016320353620083278,0.0006250000000000003,0.0019916579407010487,0.23464780681017502
7766,7768,Standard,63,0.0015120157987411013,0.0006204962600539136,0.002342126289412157,0.1414221926870247
7980,7982,Standard,77,0.001116898181069872,0.00033211710132216083,0.0017398434271176514,0.12305254106104516
8158,8159,Standard,31,0.001093034197344654,1.612903225806453e-05,0.0021699393624312435,0.06826812023536856
8290,8291,Standard,33,0.0011711740373455284,0.0008724168218868256,0.0014699312528042312,0.0746802359991444
8418,8419,Standard,32,0.0009280895916932215,0.00038709677419354876,0.0014690824091928942,0.059010637094172626
8672,8674,Standard,63,0.0016157020239037495,6.98771242968685e-05,0.002419354838709677,0.15268803945605028
8677,8679,Standard,62,0.0010696204451484009,0.0005208333333333337,0.0014279574573494824,0.10849675497805505
8717,8719,Standard,63,0.001666582282147209,0.00045691067082211074,0.002883817998764832,0.16564345164243116
8839,8840,Standard,31,0.0013318919742742697,0.0011767606489851707,0.0014870232995633688,0.08375406305398989
9604,9605,Standard,30,0.0009832912337399973,0.0005789385810467512,0.0013876438864332433,0.060734289767540084
